Time, consumer_reader_ch1, consumer_reader_ch2, producer_writer_ch1, producer_writer_ch2
14.0673, 1, 97, 1, 97
14.1291, 1, 97, 1, 97
14.1492, 1, 97, 1, 97
14.2393, 1, 97, 2, 97
14.2506, 1, 97, 2, 97
14.2865, 2, 97, 2, 97
14.2866, 2, 97, 2, 17
14.3403, 2, 97, 2, 17
14.3509, 2, 17, 2, 17
14.4130, 2, 17, 2, 17
14.4383, 2, 17, 2, 17
14.5294, 2, 17, 92, 17
14.5408, 2, 17, 92, 17
14.5779, 92, 17, 92, 17
14.5794, 92, 17, 92, 52
14.6329, 92, 17, 92, 52
14.6438, 92, 52, 92, 52
14.7056, 92, 52, 92, 52
14.7245, 92, 52, 92, 52
14.8160, 92, 52, 56, 52
14.8274, 92, 52, 56, 52
14.8628, 56, 52, 56, 52
14.8639, 56, 52, 56, 1
14.9240, 56, 52, 56, 1
14.9343, 56, 1, 56, 1
14.9944, 56, 1, 56, 1
15.0118, 56, 1, 56, 1
15.0996, 56, 1, 80, 1
15.1105, 56, 1, 80, 1
15.1446, 80, 1, 80, 1
15.1459, 80, 1, 80, 86
15.1967, 80, 1, 80, 86
15.2070, 80, 86, 80, 86
15.2669, 80, 86, 80, 86
15.2875, 80, 86, 80, 86
15.3715, 80, 86, 41, 86
15.3824, 80, 86, 41, 86
15.4166, 41, 86, 41, 86
15.4177, 41, 86, 41, 65
15.4684, 41, 86, 41, 65
15.4786, 41, 65, 41, 65
15.5384, 41, 65, 41, 65
15.5734, 41, 65, 41, 65
15.6360, 41, 65, 89, 65
15.6471, 41, 65, 89, 65
15.6814, 89, 65, 89, 65
15.6824, 89, 65, 89, 44
15.7334, 89, 65, 89, 44
15.7436, 89, 44, 89, 44
15.8102, 89, 44, 89, 44
15.8286, 89, 44, 89, 44
15.9302, 89, 44, 19, 44
15.9415, 89, 44, 19, 44
15.9769, 19, 44, 19, 44
15.9793, 19, 44, 19, 40
16.0248, 19, 44, 19, 40
16.0352, 19, 40, 19, 40
16.0971, 19, 40, 19, 40
16.1161, 19, 40, 19, 40
16.2212, 19, 40, 29, 40
16.2324, 19, 40, 29, 40
16.2691, 19, 40, 29, 31
16.2684, 29, 40, 29, 31
16.3219, 29, 40, 29, 31
16.3326, 29, 31, 29, 31
16.4171, 29, 31, 29, 31
16.4200, 29, 31, 29, 31
16.6739, 29, 31, 17, 31
16.6854, 29, 31, 17, 31
16.7162, 17, 31, 17, 31
16.7212, 17, 31, 17, 97
16.7636, 17, 31, 17, 97
16.7745, 17, 97, 17, 97
16.8368, 17, 97, 17, 97
16.9092, 17, 97, 17, 97
16.9563, 17, 97, 71, 97
16.9666, 17, 97, 71, 97
16.9951, 17, 97, 71, 81
17.0271, 71, 97, 71, 81
17.0588, 71, 97, 71, 81
17.0682, 71, 81, 71, 81
17.1327, 71, 81, 71, 81
17.1892, 71, 81, 71, 81
17.2262, 71, 81, 75, 81
17.2367, 71, 81, 75, 81
17.2649, 71, 81, 75, 9
17.2963, 75, 81, 75, 9
17.3275, 75, 81, 75, 9
17.3369, 75, 9, 75, 9
17.4012, 75, 9, 75, 9
17.4573, 75, 9, 75, 9
17.4943, 75, 9, 27, 9
17.5048, 75, 9, 27, 9
17.5277, 75, 9, 27, 67
17.5407, 27, 9, 27, 67
17.5711, 27, 9, 27, 67
17.5802, 27, 67, 27, 67
17.6450, 27, 67, 27, 67
17.7013, 27, 67, 27, 67
17.7386, 27, 67, 56, 67
17.7491, 27, 67, 56, 67
17.7775, 27, 67, 56, 97
17.8106, 56, 67, 56, 97
17.8422, 56, 67, 56, 97
17.8513, 56, 97, 56, 97
17.9170, 56, 97, 56, 97
17.9729, 56, 97, 56, 97
18.0101, 56, 97, 53, 97
18.0206, 56, 97, 53, 97
18.0489, 56, 97, 53, 86
18.0800, 53, 97, 53, 86
18.1111, 53, 97, 53, 86
18.1202, 53, 86, 53, 86
18.1852, 53, 86, 53, 86
18.2414, 53, 86, 53, 86
18.2785, 53, 86, 65, 86
18.2889, 53, 86, 65, 86
18.3174, 53, 86, 65, 6
18.3483, 65, 86, 65, 6
18.3796, 65, 86, 65, 6
18.3887, 65, 6, 65, 6
18.4529, 65, 6, 65, 6
18.5256, 65, 6, 65, 6
18.5644, 65, 6, 83, 6
18.5748, 65, 6, 83, 6
18.6032, 65, 6, 83, 19
18.6346, 83, 6, 83, 19
18.6656, 83, 6, 83, 19
18.6748, 83, 19, 83, 19
18.7392, 83, 19, 83, 19
18.7961, 83, 19, 83, 19
18.8327, 83, 19, 24, 19
18.8432, 83, 19, 24, 19
18.8714, 83, 19, 24, 28
18.9123, 24, 19, 24, 28
18.9446, 24, 19, 24, 28
18.9541, 24, 28, 24, 28
19.0215, 24, 28, 24, 28
19.0801, 24, 28, 24, 28
19.1181, 24, 28, 71, 28
19.1290, 24, 28, 71, 28
19.1584, 24, 28, 71, 32
19.1907, 71, 28, 71, 32
19.2229, 71, 28, 71, 32
19.2324, 71, 32, 71, 32
19.2993, 71, 32, 71, 32
19.3577, 71, 32, 71, 32
19.3959, 71, 32, 29, 32
19.4066, 71, 32, 29, 32
19.4360, 71, 32, 29, 3
19.4849, 29, 32, 29, 3
19.5249, 29, 32, 29, 3
19.5387, 29, 3, 29, 3
19.6110, 29, 3, 29, 3
19.6687, 29, 3, 29, 3
19.7071, 29, 3, 19, 3
19.7177, 29, 3, 19, 3
19.7474, 29, 3, 19, 70
19.7799, 19, 3, 19, 70
19.8122, 19, 3, 19, 70
19.8217, 19, 70, 19, 70
19.8892, 19, 70, 19, 70
19.9544, 19, 70, 19, 70
19.9911, 19, 70, 68, 70
20.0015, 19, 70, 68, 70
20.0297, 19, 70, 68, 8
20.0612, 68, 70, 68, 8
20.0922, 68, 70, 68, 8
20.1013, 68, 8, 68, 8
20.1660, 68, 8, 68, 8
20.2651, 68, 8, 68, 8
20.3031, 68, 8, 15, 8
20.3134, 68, 8, 15, 8
20.3555, 68, 8, 15, 40
20.3910, 15, 8, 15, 40
20.4634, 15, 8, 15, 40
20.4748, 15, 40, 15, 40
20.5430, 15, 40, 15, 40
20.6040, 15, 40, 15, 40
20.6418, 15, 40, 49, 40
20.6523, 15, 40, 49, 40
20.6803, 15, 40, 49, 96
20.7116, 49, 40, 49, 96
20.7423, 49, 40, 49, 96
20.7513, 49, 96, 49, 96
20.8163, 49, 96, 49, 96
20.8817, 49, 96, 49, 96
20.9311, 49, 96, 23, 96
20.9418, 49, 96, 23, 96
20.9715, 49, 96, 23, 18
21.0033, 23, 96, 23, 18
21.0370, 23, 96, 23, 18
21.0483, 23, 18, 23, 18
21.1260, 23, 18, 23, 18
21.1887, 23, 18, 23, 18
21.2290, 23, 18, 45, 18
21.2401, 23, 18, 45, 18
21.2765, 23, 18, 45, 46
21.3100, 45, 18, 45, 46
21.3469, 45, 18, 45, 46
21.3619, 45, 46, 45, 46
21.4339, 45, 46, 45, 46
21.4749, 45, 46, 45, 46
21.5721, 45, 46, 51, 46
21.5833, 45, 46, 51, 46
21.6173, 51, 46, 51, 46
21.6196, 51, 46, 51, 21
21.6720, 51, 46, 51, 21
21.6827, 51, 21, 51, 21
21.7457, 51, 21, 51, 21
21.7648, 51, 21, 51, 21
21.8563, 51, 21, 55, 21
21.8676, 51, 21, 55, 21
21.9132, 55, 21, 55, 21
21.9132, 55, 21, 55, 79
21.9631, 55, 21, 55, 79
21.9735, 55, 79, 55, 79
22.0333, 55, 79, 55, 79
22.0530, 55, 79, 55, 79
22.1431, 55, 79, 88, 79
22.1539, 55, 79, 88, 79
22.1893, 55, 79, 88, 64
22.1893, 88, 79, 88, 64
22.2403, 88, 79, 88, 64
22.2508, 88, 64, 88, 64
22.3105, 88, 64, 88, 64
22.3303, 88, 64, 88, 64
22.4213, 88, 64, 28, 64
22.4303, 88, 64, 28, 64
22.4596, 28, 64, 28, 64
22.4658, 28, 64, 28, 41
22.5057, 28, 64, 28, 41
22.5162, 28, 41, 28, 41
22.5756, 28, 41, 28, 41
22.5947, 28, 41, 28, 41
22.6820, 28, 41, 50, 41
22.6930, 28, 41, 50, 41
22.7287, 50, 41, 50, 41
22.7288, 50, 41, 50, 93
22.7793, 50, 41, 50, 93
22.7896, 50, 93, 50, 93
22.8488, 50, 93, 50, 93
22.8684, 50, 93, 50, 93
22.9668, 50, 93, 0, 93
22.9780, 50, 93, 0, 93
23.0148, 0, 93, 0, 93
23.0148, 0, 93, 0, 34
23.0675, 0, 93, 0, 34
