Time, r_SP, r_MV, w_output, r_u, w_y, w_output
3.1912, 0.0000, 0.9123, -0.9123, -0.9372, 0.9123, 0.0000
3.2762, 0.0000, 0.9123, -0.9123, -0.9372, 0.9123, 0.0000
3.2884, 0.0000, 0.9123, -0.9123, -0.9372, 0.9123, 0.0000
3.3147, 0.0000, 0.9123, -0.9123, -0.9372, 0.9123, 0.0000
3.4322, 0.0000, 0.9123, -0.9123, -0.9372, 0.9123, 0.0000
3.4453, 0.0000, 0.9123, -0.9123, -0.9372, 0.9123, 0.0000
3.4706, 0.0000, 0.9123, -0.9123, -0.9372, 0.9123, 0.0000
3.5168, 0.0000, 0.9123, -0.9123, -0.9372, 0.9123, 0.0000
3.5281, 0.0000, 0.9123, -0.9123, -0.9123, 0.9123, 0.0000
3.5292, 0.0000, 0.9123, -0.9123, -0.9123, 0.9123, 0.0000
3.5388, 0.0000, 0.9000, -0.9123, -0.9123, 0.9123, 0.0000
3.5637, 0.0000, 0.9000, -0.9123, -0.9123, 0.9123, 0.0000
3.5679, 0.0000, 0.9000, -0.9123, -0.9123, 0.9000, 0.0000
3.5727, 0.0000, 0.9000, -0.9123, -0.9123, 0.9000, 0.0000
3.6026, 0.0000, 0.9000, -0.9123, -0.9123, 0.9000, 0.0000
3.6264, 0.0000, 0.9000, -0.9123, -0.9123, 0.9000, 0.0000
3.7503, 0.0000, 0.9000, -0.9123, -0.9123, 0.9000, 0.0000
3.7733, 0.0000, 0.9000, -0.9123, -0.9123, 0.9000, 0.0000
3.8535, 0.0000, 0.9000, -0.9123, -0.9123, 0.9000, 0.0000
3.8768, 0.0000, 0.9000, -0.9123, -0.9123, 0.9000, 0.0000
3.8809, 0.0000, 0.8879, -0.9123, -0.9123, 0.9000, 0.0000
3.9052, 0.0000, 0.8879, -0.9123, -0.9123, 0.9000, 0.0000
3.9159, 0.0000, 0.8879, -0.9123, -0.9123, 0.9000, 0.0000
3.9430, 0.0000, 0.8879, -0.9123, -0.9123, 0.9000, 0.0000
3.9585, 0.0000, 0.8879, -0.9000, -0.9123, 0.9000, 0.0000
3.9673, 0.0000, 0.8879, -0.9000, -0.9123, 0.9000, 0.0000
4.0497, 0.0000, 0.8879, -0.9000, -0.9123, 0.8879, 0.0000
4.0741, 0.0000, 0.8879, -0.9000, -0.9000, 0.8879, 0.0000
4.2187, 0.0000, 0.8879, -0.9000, -0.9000, 0.8879, 0.0000
4.2285, 0.0000, 0.8879, -0.8879, -0.9000, 0.8879, 0.0000
4.2662, 0.0000, 0.8879, -0.8879, -0.9000, 0.8879, 0.0000
4.2726, 0.0000, 0.8879, -0.8879, -0.9000, 0.8879, 0.0000
4.2765, 0.0000, 0.8761, -0.8879, -0.9000, 0.8879, 0.0000
4.3417, 0.0000, 0.8761, -0.8879, -0.9000, 0.8879, 0.0000
4.3514, 0.0000, 0.8761, -0.8879, -0.8879, 0.8879, 0.0000
4.3598, 0.0000, 0.8761, -0.8879, -0.8879, 0.8761, 0.0000
4.4315, 0.0000, 0.8761, -0.8879, -0.8879, 0.8761, 0.0000
4.4415, 0.0000, 0.8761, -0.8879, -0.8879, 0.8761, 0.0000
4.4851, 0.0000, 0.8761, -0.8879, -0.8879, 0.8761, 0.0000
4.5383, 0.0000, 0.8761, -0.8879, -0.8879, 0.8761, 0.0000
4.6617, 0.0000, 0.8761, -0.8879, -0.8879, 0.8761, 0.0000
4.6635, 0.0000, 0.8761, -0.8879, -0.8879, 0.8761, 0.0000
4.6982, 0.0000, 0.8761, -0.8879, -0.8879, 0.8761, 0.0000
4.7046, 0.0000, 0.8761, -0.8879, -0.8879, 0.8761, 0.0000
4.7142, 0.0000, 0.8761, -0.8879, -0.8879, 0.8761, 0.0000
4.7347, 0.0000, 0.8761, -0.8879, -0.8879, 0.8645, 0.0000
4.7383, 0.0000, 0.8761, -0.8879, -0.8879, 0.8645, 0.0000
