Time, consumer_reader_ch1, consumer_reader_ch2, producer_writer_ch1, producer_writer_ch2
27.0459, 37081, -1334181888, 37081, -1334181888
27.0576, 37081, -1334181888, 37081, -1334181888
27.0872, 37081, -1334181888, 37081, -1334181888
27.0932, 37081, -1334181888, 37081, -1334181888
27.1278, 37081, -1334181888, 37081, -1334181888
27.1389, 37081, -1334181888, 37081, -1334181888
27.1679, 37081, -1334181888, 37081, -1334181888
27.9331, 37081, -1334181888, 37081, -1334181888
27.9600, 37081, -1334181888, 37081, -1334181888
27.9921, 37081, -1334181888, 37081, -1334181888
27.9998, 37081, -1334181888, 37081, -1334181888
28.0433, 37081, -1334181888, 37081, -1334181888
28.0720, 37081, -1334181888, 37081, -1334181888
28.0831, 37081, -1334181888, 37081, -1334181888
28.1368, 37081, -1334181888, 37081, -1334181888
28.6645, 37081, -1334181888, 37081, -1334181888
28.6926, 37081, -1334181888, 37081, -1334181888
28.7045, 37081, -1334181888, 37081, -1334181888
28.7434, 37081, -1334181888, 37081, -1334181888
28.7704, 37081, -1334181888, 37081, -1334181888
28.8124, 37081, -1334181888, 37081, -1334181888
28.8250, 37081, -1334181888, 37081, -1334181888
28.8883, 37081, -1334181888, 37081, -1334181888
30.0341, 37081, -1334181888, 37081, -1334181888
30.1171, 37081, -1334181888, 37081, -1334181888
30.1222, 37081, -1334181888, 37081, -1334181888
30.1678, 37081, -1334181888, 37081, -1334181888
30.1739, 37081, -1334181888, 37081, -1334181888
30.2351, 37081, -1334181888, 37081, -1334181888
30.2476, 37081, -1334181888, 37081, -1334181888
30.2784, 37081, -1334181888, 37081, -1334181888
30.9365, 37081, -1334181888, 37081, -1334181888
31.0176, 37081, -1334181888, 37081, -1334181888
31.0223, 37081, -1334181888, 37081, -1334181888
31.0439, 37081, -1334181888, 37081, -1334181888
31.0598, 37081, -1334181888, 37081, -1334181888
31.0817, 37081, -1334181888, 37081, -1334181888
31.0925, 37081, -1334181888, 37081, -1334181888
31.1193, 37081, -1334181888, 37081, -1334181888
31.9132, 37081, -1334181888, 37081, -1334181888
31.9983, 37081, -1334181888, 37081, -1334181888
32.0029, 37081, -1334181888, 37081, -1334181888
32.0248, 37081, -1334181888, 37081, -1334181888
32.0645, 37081, -1334181888, 37081, -1334181888
32.0714, 37081, -1334181888, 37081, -1334181888
32.0825, 37081, -1334181888, 37081, -1334181888
32.1082, 37081, -1334181888, 37081, -1334181888
32.8837, 37081, -1334181888, 37081, -1334181888
33.0082, 37081, -1334181888, 37081, -1334181888
33.0201, 37081, -1334181888, 37081, -1334181888
33.0559, 37081, -1334181888, 37081, -1334181888
33.0570, 37081, -1334181888, 37081, -1334181888
33.0941, 37081, -1334181888, 37081, -1334181888
33.1050, 37081, -1334181888, 37081, -1334181888
33.1321, 37081, -1334181888, 37081, -1334181888
33.8922, 37081, -1334181888, 37081, -1334181888
33.9056, 37081, -1334181888, 37081, -1334181888
33.9171, 37081, -1334181888, 37081, -1334181888
33.9957, 37081, -1334181888, 37081, -1334181888
34.0337, 37081, -1334181888, 37081, -1334181888
34.0740, 37081, -1334181888, 37081, -1334181888
34.0852, 37081, -1334181888, 37081, -1334181888
34.1336, 37081, -1334181888, 37081, -1334181888
34.8494, 37081, -1334181888, 37081, -1334181888
34.8757, 37081, -1334181888, 37081, -1334181888
34.8879, 37081, -1334181888, 37081, -1334181888
34.9248, 37081, -1334181888, 37081, -1334181888
34.9402, 37081, -1334181888, 37081, -1334181888
34.9905, 37081, -1334181888, 37081, -1334181888
35.0011, 37081, -1334181888, 37081, -1334181888
35.0495, 37081, -1334181888, 37081, -1334181888
35.8318, 37081, -1334181888, 37081, -1334181888
35.8581, 37081, -1334181888, 37081, -1334181888
35.8891, 37081, -1334181888, 37081, -1334181888
35.9397, 37081, -1334181888, 37081, -1334181888
35.9586, 37081, -1334181888, 37081, -1334181888
35.9798, 37081, -1334181888, 37081, -1334181888
35.9911, 37081, -1334181888, 37081, -1334181888
36.0441, 37081, -1334181888, 37081, -1334181888
36.7816, 37081, -1334181888, 37081, -1334181888
36.8638, 37081, -1334181888, 37081, -1334181888
36.8750, 37081, -1334181888, 37081, -1334181888
36.9042, 37081, -1334181888, 37081, -1334181888
36.9117, 37081, -1334181888, 37081, -1334181888
36.9435, 37081, -1334181888, 37081, -1334181888
36.9549, 37081, -1334181888, 37081, -1334181888
36.9845, 37081, -1334181888, 37081, -1334181888
38.0666, 37081, -1334181888, 37081, -1334181888
38.1386, 37081, -1334181888, 37081, -1334181888
38.1498, 37081, -1334181888, 37081, -1334181888
38.1825, 37081, -1334181888, 37081, -1334181888
38.2019, 37081, -1334181888, 37081, -1334181888
38.2203, 37081, -1334181888, 37081, -1334181888
38.2316, 37081, -1334181888, 37081, -1334181888
38.2607, 37081, -1334181888, 37081, -1334181888
38.8932, 37081, -1334181888, 37081, -1334181888
38.9719, 37081, -1334181888, 37081, -1334181888
38.9829, 37081, -1334181888, 37081, -1334181888
39.0235, 37081, -1334181888, 37081, -1334181888
39.0236, 37081, -1334181888, 37081, -1334181888
39.0620, 37081, -1334181888, 37081, -1334181888
39.0734, 37081, -1334181888, 37081, -1334181888
39.1028, 37081, -1334181888, 37081, -1334181888
39.7565, 37081, -1334181888, 37081, -1334181888
39.7818, 37081, -1334181888, 37081, -1334181888
